year,province_name,latitude,longitude,t2m,t2m_min,t2m_max,prectotcorr,allsky_sfc_sw_dwn,rh2m,ws2m,ps,t2mwet,ts
1995,An Giang,10.3109073,105.2141844,27.595384615384617,15.37,40.66,5.273076923076923,19.29769230769231,76.6923076923077,2.4723076923076923,100.83692307692309,24.974615384615387,28.28
1996,An Giang,10.3109073,105.2141844,27.065384615384616,14.36,40.96,6.107692307692308,18.473846153846157,80.68769230769232,2.3,100.80307692307692,24.97,27.607692307692307
1997,An Giang,10.3109073,105.2141844,27.106153846153845,15.99,39.26,5.259230769230769,19.200769230769232,80.73384615384614,2.333076923076923,100.94692307692308,25.071538461538463,27.61
1998,An Giang,10.3109073,105.2141844,28.388461538461534,18.37,42.23,6.152307692307692,18.942307692307693,77.00538461538461,2.46,100.82923076923076,25.736153846153847,29.13153846153846
1999,An Giang,10.3109073,105.2141844,26.531538461538464,14.92,38.97,5.809230769230769,18.265384615384612,84.14230769230768,2.4976923076923074,100.78153846153847,24.935384615384617,26.87076923076923
2000,An Giang,10.3109073,105.2141844,27.084615384615383,18.0,39.56,4.573076923076924,18.264615384615382,81.38923076923076,2.4046153846153846,100.75076923076924,25.150769230769228,27.576153846153847
2001,An Giang,10.3109073,105.2141844,27.394615384615385,18.08,39.88,3.506153846153846,18.804615384615385,79.42076923076924,2.5176923076923075,100.79307692307692,25.22153846153846,27.97
2002,An Giang,10.3109073,105.2141844,28.18769230769231,17.96,40.81,2.5046153846153847,19.46076923076923,73.95461538461538,2.585384615384615,100.86692307692309,25.264615384615382,29.04230769230769
2003,An Giang,10.3109073,105.2141844,28.02,18.04,40.85,2.926153846153846,18.67,75.26,2.4453846153846155,100.8653846153846,25.262307692307694,28.78
2004,An Giang,10.3109073,105.2141844,28.08692307692308,19.74,40.26,3.03,19.013846153846156,74.53307692307693,2.366153846153846,100.87538461538462,25.233846153846155,28.90230769230769
2005,An Giang,10.3109073,105.2141844,28.13230769230769,17.91,41.1,2.680769230769231,18.414615384615384,74.87384615384616,2.573846153846154,100.85,25.28846153846154,28.921538461538464
2006,An Giang,10.3109073,105.2141844,27.86923076923077,17.87,40.35,3.3953846153846152,17.96153846153846,77.46384615384615,2.3253846153846154,100.8353846153846,25.411538461538463,28.50230769230769
2007,An Giang,10.3109073,105.2141844,27.81615384615385,16.74,40.24,3.0969230769230767,18.071538461538463,76.68384615384615,2.3453846153846154,100.80307692307692,25.24230769230769,28.47307692307692
2008,An Giang,10.3109073,105.2141844,27.525384615384613,19.11,39.96,3.2992307692307694,17.76076923076923,77.77846153846154,2.3546153846153848,100.7976923076923,25.12538461538461,28.095384615384617
2009,An Giang,10.3109073,105.2141844,27.543846153846157,16.31,38.42,2.9000000000000004,17.92,78.4176923076923,2.439230769230769,100.81076923076922,25.26692307692308,28.091538461538462
2010,An Giang,10.3109073,105.2141844,28.463846153846152,18.68,41.46,2.8146153846153847,18.16692307692308,74.7023076923077,2.2623076923076924,100.82,25.62538461538461,29.264615384615382
2011,An Giang,10.3109073,105.2141844,27.4,18.11,38.76,3.503846153846154,17.956923076923076,78.32615384615384,2.4615384615384617,100.79461538461538,25.093846153846155,27.944615384615386
2012,An Giang,10.3109073,105.2141844,27.571538461538463,20.18,39.31,3.7492307692307696,17.93307692307692,80.42076923076924,2.4084615384615384,100.78153846153847,25.513846153846156,28.01230769230769
2013,An Giang,10.3109073,105.2141844,27.96923076923077,18.54,40.42,2.73,17.751538461538463,76.02923076923076,2.3446153846153845,100.80923076923077,25.356923076923074,28.606153846153845
2014,An Giang,10.3109073,105.2141844,28.345384615384617,17.17,40.81,2.6184615384615384,18.622307692307693,73.12153846153846,2.276153846153846,100.87153846153844,25.333076923076923,29.199230769230773
2015,An Giang,10.3109073,105.2141844,28.36769230769231,17.69,39.87,3.0007692307692304,19.17153846153846,73.93692307692308,2.3907692307692305,100.93769230769232,25.427692307692308,29.15538461538461
2016,An Giang,10.3109073,105.2141844,28.504615384615384,18.36,41.25,3.959230769230769,18.365384615384617,75.52076923076923,2.528461538461538,100.84923076923076,25.713846153846152,29.236153846153847
2017,An Giang,10.3109073,105.2141844,27.543076923076924,16.39,38.98,4.325384615384615,18.05,80.81923076923077,2.3215384615384616,100.83923076923078,25.544615384615383,27.95615384615385
2018,An Giang,10.3109073,105.2141844,27.321538461538463,17.51,38.82,5.7784615384615385,18.136923076923075,82.0723076923077,2.2253846153846157,100.84846153846154,25.47615384615385,27.67076923076923
2019,An Giang,10.3109073,105.2141844,27.765384615384612,17.45,40.51,5.975384615384616,18.827692307692303,79.49307692307693,2.332307692307692,100.89384615384616,25.543076923076924,28.26
2020,An Giang,10.3109073,105.2141844,27.948461538461537,19.04,39.52,8.18,18.677692307692308,78.77384615384615,2.19,100.84384615384616,25.616153846153846,28.49384615384616
2021,An Giang,10.3109073,105.2141844,27.10384615384616,16.67,39.58,7.187692307692307,18.060769230769232,82.50461538461538,2.305384615384616,100.8423076923077,25.279230769230768,27.45692307692308
2022,An Giang,10.3109073,105.2141844,27.111538461538466,17.85,37.07,6.673076923076923,17.75307692307692,83.72076923076924,2.1184615384615384,100.7846153846154,25.47153846153846,27.393846153846155
