province_name,latitude,longitude
An Giang,10.3109073,105.2141844
Ba Ria - Vung Tau,10.6278105,107.2803521
Bac Giang,21.3586912,106.2747677
Bac Kan,22.2220567,105.8681756
Bac Lieu,9.401815,105.4487128
Bac Ninh,21.0782579,106.2172111
Ben Tre,10.0714766,106.5924532
Binh Dinh,13.9481884,108.8531771
Binh Duong,11.3617868,106.7904995
Binh Phuoc,11.8000378,106.9151381
Binh Thuan,11.0966151,108.0886404
Ca Mau,9.1080394,104.8979779
Can Tho,10.122571,105.4595037
Cao Bang,22.7663873,106.1218581
Da Nang,16.0620055,108.0428018
Dak Lak,13.2005395,108.1899903
Dak Nong,12.5046041,107.6926461
Dien Bien,21.3198617,103.0221095
Dong Nai,10.9669579,107.4280568
Dong Thap,10.5494402,105.8026748
Gia Lai,13.345163,108.3865221
Ha Giang,22.6740844,105.0171206
Ha Nam,20.5544846,106.1034254
Ha Noi,21.1176225,105.3953741
Ha Tay,20.965872,105.550891
Ha Tinh,18.2224591,106.0308039
Hai Duong,20.8032327,106.4129676
Hai Phong,20.6795578,106.4711033
Hau Giang,9.824974,105.5712512
Hoa Binh,20.4429786,105.4534575
Hung Yen,20.7358776,106.1531028
Khanh Hoa,12.523314,109.0144286
Kien Giang,10.2211737,104.9863112
Kon Tum,14.6113365,108.0060878
Lai Chau,21.8611486,103.8457452
Lam Dong,11.6023052,108.3785534
Lang Son,21.524441,106.2269869
Lao Cai,22.3476923,104.1428255
Long An,10.6099676,105.9996499
Nam Dinh,20.1841662,106.301384
Nghe An,19.0432849,105.4428726
Ninh Binh,20.041718,106.0977183
Ninh Thuan,11.7297058,108.7397452
Phu Tho,21.4492664,105.0753645
Phu Yen,13.1958397,109.2812606
Quang Binh,17.2230832,106.8091379
Quang Nam,15.8477203,107.9678616
Quang Ngai,14.9481932,108.8948599
Quang Ninh,21.0907772,106.5288951
Quang Tri,16.6766859,107.2782769
Soc Trang,9.5661106,105.9868384
Son La,20.8860433,104.6016002
TP Ho Chi Minh,11.0026118,106.5594225
Tay Ninh,10.9624382,106.1708593
Thai Binh,20.465305,106.268285
Thai Nguyen,21.4588378,105.9898843
Thanh Hoa,19.9353032,105.4892382
Thua Thien Hue,16.4807265,107.6745363
Tien Giang,10.3378539,106.6048017
Tra Vinh,9.7790219,106.3597521
Tuyen Quang,21.6621744,105.3569853
Vinh Long,10.0745511,105.9442851
Vinh Phuc,21.2491685,105.4692619
Yen Bai,21.5858342,104.50706
